generation,short_window,long_window,risk_fraction,use_var_guard,use_drawdown_guard,fitness,sharpe,sortino,max_drawdown,total_return
1,4,170,0.2572779167019025,True,False,4.157552105637889,3.914154672145827,5.977653952845896,0.006949739042736331,0.0927150605685918
2,4,170,0.2572779167019025,True,False,4.157552105637889,3.914154672145827,5.977653952845896,0.006949739042736331,0.0927150605685918
3,4,170,0.25783429789284745,True,False,4.157587955816669,3.914154672145826,5.977653952845896,0.006964726140521977,0.09292428565806699
4,7,173,0.2699413303727092,True,False,4.159677391785437,3.9237712446491995,5.962777172547994,0.007290805151139978,0.09748907645987925
5,19,170,0.2925963088821628,True,False,4.159843375725967,3.9141546721458256,5.977653952845896,0.007900741021111324,0.10607341496573919
6,19,170,0.2925963088821628,True,False,4.159843375725967,3.9141546721458256,5.977653952845896,0.007900741021111324,0.10607341496573919
7,7,173,0.2925963088821628,True,False,4.161150821659696,3.9237712446491986,5.962777172547992,0.007900741021110888,0.10607609757112257
8,7,173,0.2925963088821628,True,False,4.161150821659696,3.9237712446491986,5.962777172547992,0.007900741021110888,0.10607609757112257
9,7,173,0.2925963088821628,True,False,4.161150821659696,3.9237712446491986,5.962777172547992,0.007900741021110888,0.10607609757112257
10,16,173,0.2978734996667314,False,False,4.161495915698029,3.923771244649199,5.962777172547993,0.008042774598283986,0.10808563491712797
11,16,173,0.2978734996667314,False,False,4.161495915698029,3.923771244649199,5.962777172547993,0.008042774598283986,0.10808563491712797
12,7,169,0.29891859432092915,True,False,4.161851713611678,3.9156884752674395,5.979874141270537,0.008070900982941618,0.10852373231614854
13,6,173,0.3458379676729636,True,True,4.164665264033106,3.9237712446491986,5.962777172547992,0.009332970606968175,0.12651276860988214
14,6,169,0.3458379676729636,True,True,4.164953997196152,3.9156884752674395,5.979874141270537,0.009332970606968362,0.1265592894865739
15,6,169,0.3458379676729636,True,True,4.164953997196152,3.9156884752674395,5.979874141270537,0.009332970606968362,0.1265592894865739
16,8,169,0.3565030203144767,True,True,4.165667107574013,3.91568847526744,5.979874141270538,0.009619666390820982,0.13069823294358307
17,8,169,0.3565030203144767,True,True,4.165667107574013,3.91568847526744,5.979874141270538,0.009619666390820982,0.13069823294358307
18,8,169,0.3565030203144767,True,True,4.165667107574013,3.91568847526744,5.979874141270538,0.009619666390820982,0.13069823294358307
