module,fanin,fanout
src,0,0
src.config.evolution_config,0,1
src.config.portfolio_config,1,0
src.config.risk.risk_config,3,0
src.config.sensory_config,0,0
src.config.system_config,1,0
src.core,6,3
src.core.base,1,0
src.core.configuration,0,1
src.core.context_packet,1,0
src.core.event_bus,7,1
src.core.events,13,0
src.core.evolution,0,0
src.core.evolution.engine,5,0
src.core.evolution.fitness,2,0
src.core.evolution.operators,2,0
src.core.evolution.population,2,0
src.core.exceptions,13,0
src.core.instrument,3,0
src.core.interfaces,20,0
src.core.market_data_cache,1,0
src.core.performance,0,2
src.core.performance.market_data_cache,3,0
src.core.population_manager,0,2
src.core.risk,0,0
src.core.risk.manager,8,1
src.core.risk.position_sizing,2,0
src.core.risk.stress_testing,1,0
src.core.risk.var_calculator,1,0
src.core.risk_manager,0,1
src.core.sensory_organ,0,1
src.core.strategy,0,0
src.core.strategy.engine,5,0
src.core.strategy.templates,0,0
src.core.strategy.templates.mean_reversion,0,1
src.core.strategy.templates.moving_average,1,1
src.core.strategy.templates.trend_strategies,0,1
src.core.vectorized_indicators,1,0
src.data_foundation.config.execution_config,1,0
src.data_foundation.config.risk_portfolio_config,0,0
src.data_foundation.config.sizing_config,0,0
src.data_foundation.config.vol_config,0,1
src.data_foundation.config.why_config,1,0
src.data_foundation.ingest.fred_calendar,0,1
src.data_foundation.ingest.yahoo_ingest,0,0
src.data_foundation.persist.jsonl_writer,0,0
src.data_foundation.persist.parquet_writer,0,0
src.data_foundation.replay.multidim_replayer,0,0
src.data_foundation.schemas,1,0
src.data_integration,0,1
src.data_integration.data_fusion,0,2
src.data_integration.data_validation,1,0
src.data_integration.dukascopy_ingestor,0,0
src.data_integration.real_data_integration,5,0
src.data_sources.yahoo_finance,0,0
src.domain,0,3
src.domain.models,1,2
src.ecosystem.coordination.coordination_engine,4,1
src.ecosystem.evaluation.niche_detector,4,0
src.ecosystem.evolution.specialized_predator_evolution,2,4
src.ecosystem.optimization.ecosystem_optimizer,3,4
src.ecosystem.species.factories,1,1
src.ecosystem.species.species_manager,3,1
src.evolution,0,4
src.evolution.ambusher.ambusher_fitness,1,0
src.evolution.ambusher.ambusher_orchestrator,0,2
src.evolution.engine,0,4
src.evolution.episodic_memory_system,1,0
src.evolution.evaluation,0,0
src.evolution.meta,0,0
src.evolution.mutation.gaussian_mutation,0,1
src.evolution.selection.adversarial_selector,1,0
src.genome,0,0
src.genome.models,0,0
src.genome.models.genome,0,1
src.governance,0,0
src.governance.audit,0,0
src.governance.audit_logger,0,0
src.governance.audit_trail,1,0
src.governance.fitness,0,0
src.governance.registry,0,0
src.governance.safety_manager,0,0
src.governance.strategy_registry,2,0
src.governance.system_config,3,0
src.governance.vault,0,0
src.integration,0,0
src.integration.component_integrator,1,3
src.integration.component_integrator_impl,0,12
src.intelligence,0,0
src.intelligence.adversarial_training,0,5
src.intelligence.competitive_intelligence,0,1
src.intelligence.portfolio_evolution,0,0
src.intelligence.predictive_modeling,0,1
src.intelligence.red_team_ai,0,1
src.intelligence.sentient_adaptation,2,5
src.intelligence.specialized_predators,0,5
src.operational,0,0
src.operational.bus,0,0
src.operational.container,0,0
src.operational.event_bus,0,1
src.operational.fix_connection_manager,0,3
src.operational.health_monitor,0,2
src.operational.icmarkets_api,1,0
src.operational.icmarkets_config,1,0
src.operational.icmarkets_robust_application,0,1
src.operational.md_capture,0,0
src.operational.metrics,2,0
src.operational.mock_fix,1,0
src.operational.monitoring,0,0
src.operational.state,0,0
src.operational.state_store,10,0
src.performance,0,1
src.phase2d_integration_validator,0,8
src.phase3_integration,0,0
src.pnl,0,1
src.risk,3,3
src.risk.manager,1,0
src.risk.risk_manager_impl,0,2
src.sensory,0,1
src.sensory.anomaly,0,1
src.sensory.anomaly.anomaly_sensor,1,0
src.sensory.anomaly_sensor,1,0
src.sensory.base,1,0
src.sensory.calibration,0,0
src.sensory.core,0,1
src.sensory.core.base,13,0
src.sensory.data,0,0
src.sensory.dimensions,0,4
src.sensory.dimensions.what.volatility_engine,1,0
src.sensory.dimensions.why.yield_signal,1,0
src.sensory.enhanced.anomaly.manipulation_detection,5,0
src.sensory.enhanced.chaos.antifragile_adaptation,1,0
src.sensory.enhanced.how.institutional_footprint_hunter,1,0
src.sensory.enhanced.what.pattern_synthesis_engine,1,0
src.sensory.enhanced.when.temporal_advantage_system,1,0
src.sensory.enhanced.why.macro_predator_intelligence,1,0
src.sensory.examples,0,0
src.sensory.integration,0,0
src.sensory.models,0,1
src.sensory.organs,0,0
src.sensory.organs.analyzers,0,0
src.sensory.organs.analyzers.anomaly_organ,0,0
src.sensory.organs.dimensions,0,0
src.sensory.organs.dimensions.anomaly_detection,0,0
src.sensory.organs.dimensions.anomaly_dimension,1,0
src.sensory.organs.dimensions.base_organ,4,1
src.sensory.organs.dimensions.chaos_adaptation,0,0
src.sensory.organs.dimensions.chaos_dimension,1,0
src.sensory.organs.dimensions.data_integration,0,0
src.sensory.organs.dimensions.economic_analysis,1,0
src.sensory.organs.dimensions.how_organ,0,4
src.sensory.organs.dimensions.indicators,1,0
src.sensory.organs.dimensions.institutional_tracker,0,1
src.sensory.organs.dimensions.integration_orchestrator,0,6
src.sensory.organs.dimensions.macro_intelligence,0,1
src.sensory.organs.dimensions.order_flow,1,0
src.sensory.organs.dimensions.pattern_engine,1,0
src.sensory.organs.dimensions.patterns,1,0
src.sensory.organs.dimensions.price_action,1,0
src.sensory.organs.dimensions.real_sensory_organ,0,1
src.sensory.organs.dimensions.regime_detection,1,0
src.sensory.organs.dimensions.sensory_signal,0,1
src.sensory.organs.dimensions.temporal_system,0,0
src.sensory.organs.dimensions.utils,0,2
src.sensory.organs.dimensions.what_organ,0,2
src.sensory.organs.dimensions.when_dimension,1,0
src.sensory.organs.dimensions.when_organ,0,2
src.sensory.organs.dimensions.why_organ,0,5
src.sensory.organs.economic_organ,0,1
src.sensory.organs.fix_sensory_organ,0,0
src.sensory.organs.news_organ,0,1
src.sensory.organs.orderbook_organ,0,3
src.sensory.organs.price_organ,0,3
src.sensory.organs.sentiment_organ,0,1
src.sensory.organs.volume_organ,0,3
src.sensory.organs.yahoo_finance_organ,6,0
src.sensory.real_sensory_organ,1,0
src.sensory.services.symbol_mapper,0,2
src.sensory.signals,8,0
src.sensory.tests,0,0
src.sensory.tests.test_integration,0,1
src.sensory.utils,0,0
src.sensory.what.what_sensor,2,1
src.sensory.when.when_sensor,1,1
src.sensory.why.why_sensor,0,1
src.sentient.adaptation.adaptation_controller,2,0
src.sentient.learning.real_time_learning_engine,3,0
src.sentient.memory.faiss_pattern_memory,3,0
src.sentient.sentient_predator,0,3
src.thinking,0,0
src.thinking.adaptation.tactical_adaptation_engine,0,3
src.thinking.adversarial.adversarial_trainer,2,0
src.thinking.adversarial.market_gan,2,6
src.thinking.adversarial.red_team_ai,2,2
src.thinking.analysis,0,4
src.thinking.analysis.correlation_analyzer,0,2
src.thinking.analysis.market_analyzer,0,4
src.thinking.analysis.performance_analyzer,1,1
src.thinking.analysis.risk_analyzer,1,1
src.thinking.analysis.volume_analysis,0,1
src.thinking.anomaly_detector,1,0
src.thinking.competitive.competitive_intelligence_system,2,2
src.thinking.correlation_analyzer,1,0
src.thinking.cycle_detector,1,0
src.thinking.ecosystem.specialized_predator_evolution,2,5
src.thinking.inference,0,0
src.thinking.learning.meta_cognition_engine,0,2
src.thinking.learning.real_time_learner,0,1
src.thinking.market_analyzer,1,0
src.thinking.memory,0,0
src.thinking.memory.faiss_memory,2,1
src.thinking.memory.pattern_memory,1,2
src.thinking.models,0,0
src.thinking.patterns,0,4
src.thinking.patterns.anomaly_detector,0,2
src.thinking.patterns.cvd_divergence_detector,0,2
src.thinking.patterns.cycle_detector,0,2
src.thinking.patterns.regime_classifier,0,2
src.thinking.patterns.trend_detector,0,2
src.thinking.performance_analyzer,1,0
src.thinking.phase3_orchestrator,0,8
src.thinking.prediction.market_data_generator,2,1
src.thinking.prediction.predictive_market_modeler,6,3
src.thinking.prediction.predictive_modeler,1,1
src.thinking.regime_classifier,1,0
src.thinking.risk_analyzer,1,0
src.thinking.sentient_adaptation_engine,0,1
src.thinking.thinking_manager,0,3
src.thinking.trend_detector,1,0
src.trading,0,0
src.trading.execution,0,1
src.trading.execution.execution_engine,1,0
src.trading.execution.execution_model,0,1
src.trading.execution.fix_executor,0,4
src.trading.execution.liquidity_prober,0,1
src.trading.execution_engine,1,0
src.trading.integration,0,0
src.trading.integration.fix_broker_interface,1,0
src.trading.models,1,4
src.trading.models.order,2,0
src.trading.models.position,2,0
src.trading.models.trade,0,0
src.trading.monitoring,0,0
src.trading.monitoring.parity_checker,0,2
src.trading.monitoring.performance_tracker,2,0
src.trading.monitoring.portfolio_monitor,1,2
src.trading.monitoring.portfolio_tracker,1,0
src.trading.order,1,0
src.trading.order_management,0,0
src.trading.order_management.execution,0,0
src.trading.order_management.monitoring,0,0
src.trading.order_management.order_book,0,0
src.trading.order_management.order_book.snapshot,2,0
src.trading.order_management.smart_routing,0,0
src.trading.performance,0,0
src.trading.performance.analytics,0,0
src.trading.performance.dashboards,0,0
src.trading.performance.reporting,0,0
src.trading.portfolio,0,1
src.trading.portfolio.real_portfolio_monitor,0,3
src.trading.portfolio_caps,1,0
src.trading.position,1,0
src.trading.real_portfolio_monitor,1,0
src.trading.risk,0,1
src.trading.risk.advanced_risk_manager,1,0
src.trading.risk.market_regime_detector,5,0
src.trading.risk.portfolio_caps,0,0
src.trading.risk_management,0,4
src.trading.strategies.order_book_analyzer,0,1
src.trading.strategies.strategy_registry,0,1
src.trading.strategy_engine,0,1
src.trading.strategy_engine.testing.strategy_tester,2,0
src.trading.trade,1,0
src.trading.trading_manager,0,3
src.ui,0,0
src.ui.api,0,0
src.ui.cli,0,0
src.ui.cli.main_cli,0,1
src.ui.models,0,0
src.ui.ui_manager,0,3
src.validation,0,0
src.validation.accuracy,0,1
src.validation.accuracy.intelligence_validator,0,0
src.validation.benchmarker,1,0
src.validation.honest_validation_framework,1,4
src.validation.intelligence_validator,1,0
src.validation.load_tester,1,0
src.validation.memory_profiler,1,0
src.validation.models,4,0
src.validation.performance,0,3
src.validation.performance.benchmarker,0,0
src.validation.performance.load_tester,0,0
src.validation.performance.memory_profiler,0,0
src.validation.phase2_validation_suite,0,4
src.validation.phase2c_validation_suite,0,2
src.validation.phase2d_integration_validator,1,7
src.validation.phase2d_simple_integration,0,6
src.validation.real_market_validation,1,5
src.validation.validation_framework,0,5
