path,line,message
src/core/genome.py,122,"Unused ""type: ignore"" comment  [unused-ignore]"
src/data_integration/__init__.py,19,"Unused ""type: ignore"" comment"
src/data_integration/__init__.py,27,"Unused ""type: ignore"" comment"
src/data_integration/__init__.py,31,"Unused ""type: ignore"" comment"
src/data_integration/__init__.py,35,"Unused ""type: ignore"" comment"
src/data_integration/__init__.py,39,"Unused ""type: ignore"" comment"
src/data_integration/__init__.py,43,"Unused ""type: ignore"" comment"
src/data_integration/__init__.py,47,"Unused ""type: ignore"" comment"
src/data_integration/__init__.py,51,"Unused ""type: ignore"" comment"
src/data_integration/__init__.py,55,"Unused ""type: ignore"" comment"
src/data_integration/__init__.py,59,"Unused ""type: ignore"" comment"
src/data_integration/__init__.py,63,"Unused ""type: ignore"" comment"
src/data_integration/__init__.py,67,"Unused ""type: ignore"" comment"
src/domain/models.py,65,"Unused ""type: ignore"" comment  [unused-ignore]"
src/sensory/models/__init__.py,15,"Unused ""type: ignore"" comment"
src/core/population_manager.py,265,"Unused ""type: ignore"" comment"
src/core/population_manager.py,275,"Unused ""type: ignore"" comment"
src/core/population_manager.py,309,"Unused ""type: ignore"" comment"
src/core/population_manager.py,353,"Unused ""type: ignore"" comment"
